Shortlisted,Company_Name,Profile,Job_Description
0,Decision Point,Data Scientist - Statistical Analysis and Modeling,"
- Proven background in Statistical Analysis and Modeling

- Experience in leading or collaborating with a team of data scientists and engineers in developing and delivering machine learning models that work in a production setting

- Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments

- Proficiency in statistical and other tools/languages - R, S-plus, SAS, STATA, Python, Java, Scala

- Experience working with large data sets and tools like MapReduce, Hadoop, Hive, etc.

- Experience working with large data streaming technologies like Spark, Flink, etc.

- Familiarity with relational databases and intermediate level knowledge of SQL 
Desired Candidate Profile

Education-
UG: Any Graduate - Any Specialization
PG:Any Postgraduate - Any Specialization
Doctorate:Doctorate Not Required
"
0,Decision Point,Data Scientist - Statistical Analysis and Modeling,"
- Proven background in Statistical Analysis and Modeling

- Experience in leading or collaborating with a team of data scientists and engineers in developing and delivering machine learning models that work in a production setting

- Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments

- Proficiency in statistical and other tools/languages - R, S-plus, SAS, STATA, Python, Java, Scala

- Experience working with large data sets and tools like MapReduce, Hadoop, Hive, etc.

- Experience working with large data streaming technologies like Spark, Flink, etc.

- Familiarity with relational databases and intermediate level knowledge of SQL"
0,DecisionTree Analytics,Data Analyst,"  
A Data Analyst is responsible for the technical implementation of current and future data warehouse, business intelligence solutions in Digital Marketing domain and data migration strategies for our clients and partners. The candidate should be proficient with the design of database architectures, data warehouses, data migrations, data marts, business intelligence packages, and implementing user reporting solutions based upon business requirement and content knowledge.

The position offers a unique opportunity to be part of a small, fast-paced, challenging, and entrepreneurial environment, with a high degree of individual .Significant opportunities for professional development exist. Compensation packages among the best in the industry. The exact designation will be in line with your expertise/experience

 :

- Maintain Business Intelligence (BI) infrastructure, including production changes.

- Identify new and emerging technologies and enhance existing processes related to analytics and reporting.

- Work with stakeholders to determine business requirements, priorities, define key performance indicators (KPI) and develop BI and data warehouse (DW) strategy.

- Perform ad-hoc analysis and other -related duties as assigned.

- Create specifications for reports, data and analysis based on business needs and required or available data elements.

- Help develop and move forward the company's BI offerings.

- Analyze complex business problems and issues using data from internal and external sources to provide insight to decision-makers.
Desired Candidate Profile
Desired Skills and Experience:

- 1-3 years BI experience using data base technology, emphasis on analytical and reporting tools.

- Ability to analyze large amounts of raw data and summarize into clear, accurate, meaningful, value-added reports and analysis.

- Strong analytical and problem solving skills.

- Solid understanding of BI Tools such as QlikView, Klipfolio and Tableau with the ability to independently conceptualize and generate reports, metrics, and dashboards for fact based decision making and identifying continuous improvement opportunities.

- Strong understanding database methodology, data analysis, SQL queries, ETL and business intelligence applications.

- Knowledge of Digital data a definite plus.

- Excellent oral and written communication skills.

- Background in Engineering/IT, MBA, Statistics, Economics."
0,Frost and Sullivan (India) Private Limited,"Research Analyst - Enterprise Services, Telecoms - Asiapacific","Work closely with the program manager to produce the industry-leading Enterprise Services Research as part of Frosts Telecoms Research Group.
Develop an understanding on enterprise solutions and how its impact on the business verticals.
Able to write market research reports, market insights; and leverage existing research content for consulting engagaments
Build strong relationship with industry SMEs for conducting primary interviews
Establish as a thought leader and represent the company in public media and industry forums.
Support telecom research practice and other client engagements as required.


Qualifications & Experience: 
MBA or equivalent Degree in marketing/ strategy. 
1 year + experience in either Telecoms or Enterprise IT services (cloud, data centre, security, managed services, etc.) with a good understanding of the technologies and technical concepts.

Skills
Good analytical ability and proven primary & secondary research skills, with working knowledge of research databases is preferred.
Experience in market/ industry research is essential and consulting business will be an advantage.
Motivated, self starter and able to work under pressure
Excellent written and verbal communication skills, including presentations to senior executives. 
Team player with good interpersonal skills
Strong working skills on MS office suite"
0,Gyanmatrix - Startup,Senior Data Analyst,"
DATA ENGINEER - BIG DATA 
Must be able to ensure Agile/Scrum concepts and principles are adhered to, must be able to be a voice of reason and authority, make the tough calls. Must be the first to notice differences and issues as they arise and elevate them to management.

: 
Big Data (1.2B+ records across 60m+ unique identifiers/month)
Play with AWS S3, Redshift, Kinesis, RDS, Hadoop, EMR, Storm, Spark, python, R programming and plenty of other cool tools
Working knowledge in BI and reporting tools like Tableau, SSRS, Jasper Reports, QlikView, etc.
Join our smart and empowered high-achieving team
Removing impediments or guiding the team to remove impediments by finding the right personnel to remove the impediment.
Building a trusting and safe environment where problems can be raised without fear of blame, retribution, or being judged, with an emphasis of healing and problem solving.
Facilitating getting the work done without coercion, assigning, or dictating the work.
Facilitating discussion, decision making, and conflict resolution
Assisting with internal and external communication, improving transparency, and radiating information
Supporting and educating the Product Owner, especially with respect to grooming and maintaining the product backlog.
Desired Candidate Profile
Experience using and maintaining AWS environments for data analysis and data processing
Good knowledge in SQL, Google Big Query, Google Cloud, Data Pipeline
Should have extensively worked in ETL data processing and migration.
Good knowledge in Data Modelling
Good working knowledge in R, Spark, or Python
Considerable knowledge in Java & EMR highly regarded
A solid understanding and practical experience using Clustered technologies
Experience with working with Log processing tools, report creation and scheduling
You will show initiative and drive by putting forward new ideas
Excellent communication skills
Very enthusiastic and self-motivated with a desire to succeed
Highly skilled, creative and well versed in working to strict deadlines
Experience working within medium to large enterprise environment
Any previous experience working on Angular, Node JS, and D3 will be highly advantageous
Exposure to Graph DB technologies desirable but not essential
DESIRABLE KNOWLEDGE:
Working knowledge in any one of the workflow and monitoring interfaces like Airflow, Luigi, Dataflow, etc.
Considerable knowledge in AWS environment.
Automating notification and data validation.
Considerable knowledge in Spark.
Education-
UG: B.Tech/B.E. - Any Specialization
PG:Any Postgraduate - Any Specialization
Doctorate:Doctorate Not Required"
0,Mercados Energy Markets India,Analyst/ Senior Analyst - Database Managemen," 

- Extracting data using advanced data mining techniques from various websites /reports and other resources to develop and maintain the database. 

- Maintains database results by setting and enforcing standards and controls. 

- Prepares for database expansion by studying plans and requirements; advising senior technical management; coordinating design and programming. 

- Upgrades hardware and software by assessing transaction processing and database production options. 

- Maintains database performance by troubleshooting problems. 

- Secures database by developing policies, procedures, and controls. 

- Updates  knowledge by participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations. 

- Accomplishes information systems and organization mission by completing related results as needed. Desired Candidate Profile
Educational Qualifications 

- Undergraduate in Computer Science/Statistics/IT/ECE 

- Post graduate in Applied Mathematics, Statistics, Computer Science, Operations Research or equivalent 

Work Experience 

- 3-5 years of experience in database maintenance/management 

- Prior experience /knowledge of Energy/Power Sector would be a plus 

Skills Required 

- Data Maintenance 

- Database Management 

- Presenting Technical Information 

- Database Design 

- Reporting Skills 

- Quality Focus 

- Technical Understanding 

- Attention to Detail 

- Thoroughness 

- Requirements Analysis 

Desired Software Skills 

- SQL, Access, Excel VBA 

- Visualization tools such as: Tableau, Power BI 

- Statistical Softwares such as: STATA, SAS, SPSS, EViews 

- Data Parsing /Scraping from websites /HTML pages 

- Coding skills in R, Python, Matlab would be a plus
Education-
UG: B.Tech/B.E. - Computers, B.Sc - Any Specialization, Statistics
PG:M.Tech - Computers, MS/M.Sc(Science) - Any Specialization, Maths, Statistics
Doctorate:Doctorate Not Required"
0,Myntra Designs Pvt. Ltd.,Data & Analytics Products - Se/sse,"Write maintainable/scalable/efficient code.
- Design and architect technical solutions for the business problems of a very large scale data from leading e-commerce portal.
- Work in cross-functional team, collaborating with peers during entire SDLC.
- Follow coding standards, unit-testing, code reviews etc.
- Follow release cycles and commitment to deadlines."
0,Mirus Solutions,Credit Analyst - Construction Financ,"Sourcing of Corporate Credit Proposals with key focus on mapping clients requirements & providing best products to suit their requirements

- Generating business from existing accounts & achieving profitability & sales growth, client negotiation and business development for deepening of existing relationship and identifying new opportunities

- Conducting credit appraisal for clients seeking construction loans encompassing preparation of detailed appraisal notes covering detailed analysis of industry/business, management, financial performance, exposure levels, stipulation of security/collateral and finalization of terms & conditions by adhering to established laid-down internal and regulatory policies & guidelines, presenting proposals to credit sanctioning committees & ensuring approvals.
Desired Candidate Profile
Requirements:

- MBA (fin) / CA with min 3 years post qualification experience

- 3+ years- experience as a Credit or Financial Analyst

- Strong knowledge of Microsoft Office suite

- Able to research and evaluate data to make informed decisions and solve problems

- Strong mathematical and analytical skills

- Sense of discretion and willingness to maintain strict confidentiality of pertinent and sensitive information .
Education-
UG: Any Graduate - Any Specialization
PG:MBA/PGDM - Finance, CA
Doctorate:Doctorate Not Required
"
0,Mississippi Consultants LLP,Business Analyst - Market Risk/ Credit Risk Domain," & :

- Business Analysis -

1 Understanding business requirements through user requirements gathering sessions

2 Mapping business requirements to Functional solutions

3 Creating Functional specifications from which developers can create application solutions.

- Functional Specification - Solution Prototype/ Working Model level specifications of all processing Implementation, User training and coordination for UAT, Coordination between regional technical teams and global development team, Regional support at implementation time.

- Take ownership of product delivery timelines and milestones typical tasks involve analysis of business requirement requests, definition of technical specifications, liaising with Development Team and Management to complete development, support of UAT, training and business level support at implementation.

- Candidate must be a good team player, have strong technical skills and be able to work flexible hours (including occasional weekend work).
Desired Candidate Profile
Business Analyst with experience in market risk / credit risk domain

Experience: 3+ years of relevant experience in market risk / credit risk domain.

Qualification: Graduate with Educational or working background in accounting and finance 

Key Skills Required:

- Solid understanding of products - equity, derivatives assets, fixed income, FX

- Relevant knowledge and experience in Market Risk / credit risk domain.

- Knowledge of risk related regulations will be a plus point.

- Good communication (including influencing & coordination), documentation and presentation skills.

- At least 3 years work experience in the financial services industry.

- Educational or working background in accounting and finance.

- Ability to analyze data and present it to senior management and other stakeholders in a meaningful way.
Education-
UG: B.Com - Commerce, Any Graduate - Any Specialization
PG:Any Postgraduate - Any Specialization
Doctorate:Doctorate Not Required
"
0,Placement Factory,Senior Consultant / Consultant - Data Analytics,"Senior Consultant/Consultant - Data Analytics - Model Development/Validation - Banking Domain

Hiring Sr consultant/ Consultant - Banking Domain Analytics for a leading Analytics Company.

Analytics Professionals having 2 yrs+ banking industry Analytics & SAS exp can apply.

IIT/ IIM, DSE, JNU -Eco, Analytics course candidates Only can apply. Banking domain Data modeling Exp. is MUST

Should have strong experience into Model Validation/ Creation into banking industry

Analytics courses qualification will be added advantage"
0,"Saaki,argus and Averil",Senior Analyst - Data Analytics - Financial Services ,"
- Combining in-depth business knowledge, insights, and techniques such as data visualization, cross-tabs, statistical tests, and data mining techniques to identify insights and trends

- Apply standard and cutting-edge techniques (statistical modeling, data mining, optimization) to identify drivers of business metrics.

- Comparison of techniques using validation to arrive at the best model using SAS, R.

- Work with structured and unstructured data to derive meaningful insights to solve business problem

- Communication of findings, concerns, ideas, project management elements to multiple stakeholders in an offshore-onshore environment"
0,Pride Technologies Consulting India Pvt Ltd,Research Analyst -,"We are looking to hire an Associate in the India Economics Research team. 

This position involves working under the India Economist to analyse the emerging economic trends in India. 

:
Cover economic data releases, events and identify key macro themes for India and provide macro market implications 
Macro-modelling Forecasting macro variables such as growth, inflation 
Market the ideas internally to sales / traders and externally to investors
Help clients reach investment conclusions through fundamental data analysis & support
Contribute through writing thought provoking and insightful reports 
 is based in Mumbai

Requirements:
Critical thinker with high level of intellectual curiosity 
High level of initiative to find a way in unstructured and stressful situations 
Excellent communication skills - verbal as well as written (reports and presentations)
Must be very comfortable with economic concepts 
Team-player 

Qualifications:
Masters or Bachelors in Economics with strong interest to build a career in economics 
Experience 0- 3 years, preferably in macro research
Good written communication skills."
0,RCI India Pvt Ltd,MIS Analyst,"Conduct customer and inventory analysis and provide data analysis to support the management and business.
Conceptualize reports based on data given 
Prepare and present reports/findings to internal customers focusing on Call Centre and Marketing
Deliver Revenue Management-related routine reports such as tracking of inventory utilization & pricing, member transactions, etc
Daily/weekly analysis of pricing/inventory so as to be source of key feed at the trade briefs enabling SLT to make key decisions keeping in mind member requirement & satisfaction.
Responsible for all daily/weekly/monthly reporting activities 
Assist in designing better processes and developing applications to efficiently automate time consuming manual processes
Handle ad-hoc data requests from business stakeholders as needed"
0,Seventh Edge Pvt. Ltd.,SAS Analytics/ Modeller,"  -

 Requirement-

The position requires SAS and analytics skills - 

Work in a team responsible for policy development in the credit authorizations area using SAS and BI tools
Segmenting accounts using CHAID/CART methodologies to design champion/challenger strategies.
Collecting and interpreting data for ad hoc projects.
Making recommendations and communicating results to Clients
Experience using SAS to analyze and solve business problems 
Demonstrated ability to synthesize, prioritize and drive results with a high sense of urgency
Strong sense of accountability and decisiveness in a strong work ethic culture
Experience working in a team of analysts with a common goal and will have a strong understanding of the cards business dynamics that will drive the analyses

P.S- Candidate should have good SAS Analytics exp , Risk Strategy, Strong problem solving skills.

Work Stream: Modeling 

 :

Develop Models for client as per the agreed upon schedule
Document modeling requirements based on discussions and information provided by client modeling lead/business users
Develop models based on the model requirements definition , per the agreed upon schedule with client
Improve existing models, per the agreed upon schedule with client
Provide model documentation (model delivery document) with model delivery
Assist in implementation support based on schedule agreed with client.

 Requirement:

Individual Contributor  for developing new and enhancing existing risk scorecards (application, behavior, collections/recovery etc.) or Marketing Analytics modeling (customers targeting)
Exposure in Online / Digital analytics & Text Mining
Should have built 2-3 risk/marketing models end to end
Experience on Segmentation, Decision Trees
Understand the statistical concepts of variable imputation, variable reduction, multi-colinearity, bootstrapping etc.
Create and maintain detailed model documentation
Researching and applying new statistical techniques to improve predictive power of models
Develop and maintain a relationship with business stakeholders
Business Problem Solutions with Value addition to impact client businesses
Project Management
Team Management
Contributions to Strategic Initiatives within Analytics practice
Ensure the business operations run smoothly in the shop
Keeping on track to meet the monthly budgets and targets
Provide training for staff and new recruitments
Excellent interpersonal skills
Ability to work independently with minimum instructions
Discretely handle confidential information
Business Analysis
Track all key business metrics 
Track updates on various business projects 
Carry out Revenue and Profitability analysis 
Prepare review decks and management decks 
Strategic Planning & Special Projects 
New capacity development and capacity management initiatives 
Provide business case support, analysis and recommendation for key opportunities 
Analyze data and make presentations to support decision-making

Industry experience

Banking, Credit Cards, Marketing Analytics, Credit Risk Modeling
Banking domain is a must
Experience on working with Machine Learning techniques (Support Vector Machines, Genetic Algorithms, Random Forests, K-Nearest Neighbor algorithm, Principal Component analysis etc.)
Minimum 3 years of experience in building models (data cleaning, dependent variable selection, independent variable study and understanding, variable reduction, bivariate analysis, variables grouping, logistic/linear model build, model validation, KS/Lift study/PSI etc.)

Education / Tool experience

Master's degree in Statistics, Economics, Engineering, Finance, Mathematics, or a related quantitative field from tier 1 colleges
Sound Knowledge of SAS, SQL and other analytical tools (R, SPSS)
Proficiency in MS Excel 
Knowledge of MS Access, SQL & Visual Basic will be an advantage
Good written and oral communication skills
Time management skills to ensure internal/external expectations are met
Strong Mathematical & Analytical ability/ skills
Exhibit an outstanding ability to communicate
Team Player
Strong academic track record
Desired Candidate Profile
Please refer to the   above
Education-
UG: B.Tech/B.E. - Any Specialization
"
0,Signature Staff Private Limited,Risk Analytics Analyst,"Project Delivery
Responsible for delivering on various risk analytics based consulting assignment as part of one team in a globally distributed staffing mode 
Deliver on analytics and/or risk strategy projects that may involve model development, validation, governance, risk strategy, implementation, economic/regulatory capital calculation, stress testing and end to end delivery of risk management solutions.

Support project teams engaged in the delivery of a wide range of Credit, Market and Operational Risk Management/Analytics initiatives. Projects may involve Risk Management advisory work for CROs, CFOs, etc. to achieve a variety of business, operational and regulatory outcomes.

Practice Enablement
Provide support to management in business development, client proposals and in building strong relationships with global Analytics and Risk Management teams
Support development of risk analytics practice through activities like capability development, knowledge management, external research etc."
0,SNVA Ventures Pvt Ltd,Fraud Analyst (USA Travel Process),"This position exists to perform on various Fraud Analysis tasks for US based travel company.
The incumbent are required to undertake fraud investigations for all cases where any type of Fraud is identified on customers booking."
